t,tau_cmd,tau_meas,tau_pred,q,dq_raw,dq_filt,ddq
3.067595939,-0.720326947,-0.759999990,-0.651663565,2.740166903,-11.431906700,-11.448143602,0.971863618
3.078099931,-0.694136711,-0.722000003,-0.642401318,2.617993832,-11.414453506,-11.436436795,1.204878922
3.088674850,-0.667494782,-0.703000009,-0.636131285,2.495820761,-11.397000313,-11.422733204,1.359247370
3.099224364,-0.640652593,-0.684000015,-0.608990318,2.373647690,-11.379547119,-11.407726682,2.053301450
3.109674253,-0.613814111,-0.627000034,-0.579747897,2.268928051,-11.327186584,-11.379740196,2.794202091
3.120117312,-0.586755252,-0.588999987,-0.572079442,2.146754980,-11.292280197,-11.349349148,2.975050174
3.130629242,-0.559288360,-0.627000034,-0.556181541,2.024581909,-11.257373810,-11.317389086,3.368081808
3.141190506,-0.531471452,-0.607999980,-0.522138852,1.902408838,-11.205014229,-11.278340495,4.226832352
3.151658272,-0.503692941,-0.532000005,-0.499181462,1.797689080,-11.135200500,-11.228601476,4.792298400
3.162138211,-0.475685696,-0.532000005,-0.484807641,1.675516129,-11.082840919,-11.177951851,5.134964898
3.172675680,-0.447337572,-0.474999994,-0.462426024,1.570796371,-11.013027191,-11.120642985,5.681106820
3.183088813,-0.419150528,-0.474999994,-0.435637403,1.448623300,-10.943214417,-11.058989197,6.338832627
3.193528917,-0.390728377,-0.437000006,-0.418777871,1.326450229,-10.855947495,-10.988435226,6.734257658
3.204004567,-0.362057383,-0.379999995,-0.411533045,1.221730471,-10.786134720,-10.918138810,6.880863456
3.214802134,-0.332357709,-0.379999995,-0.397989421,1.117010713,-10.698868752,-10.841945727,7.187135507
3.225737553,-0.302138596,-0.379999995,-0.376371906,0.994837701,-10.611601830,-10.761904649,7.700234011
3.236702180,-0.271709896,-0.342000008,-0.343189752,0.872664630,-10.506881714,-10.673287973,8.507793500
3.247266449,-0.242282326,-0.303999990,-0.315637294,0.767944872,-10.402162552,-10.579075923,9.166310852
3.258292736,-0.211465488,-0.303999990,-0.289592513,0.663225114,-10.279989243,-10.475147751,9.780121029
3.269177811,-0.180953664,-0.246999994,-0.271025016,0.558505356,-10.157815933,-10.364879665,10.196612182
3.279736205,-0.151284651,-0.189999998,-0.255557797,0.453785598,-10.053096771,-10.256539748,10.533947211
